account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,total_mrr,avg_sub_mrr,max_sub_mrr,total_subscriptions_count,upgrade_count,downgrade_count,annual_billing_count,monthly_billing_count,first_sub_date,last_sub_date,net_expansion_score,annual_billing_ratio,total_feature_events,total_duration_hours,avg_session_duration_mins,total_errors,distinct_features_used,beta_feature_events,error_rate_per_100_events,beta_feature_usage_ratio,total_tickets,avg_csat,min_csat,avg_first_response_min,avg_resolution_hours,total_escalations,urgent_tickets,high_tickets,escalation_rate_pct,urgent_ticket_ratio,churn_reason,refund_amount_usd,is_reactivation,churn_date,mrr_per_seat,signup_dt,churn_dt,tenure_days,tenure_months
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,1,0,16242.0,1353.5,12139.0,12,2,0,7,5,2023-04-30,2024-12-12,2,0.5833333333333334,64,60.354166666666664,56.58203125,30,30,10,46.875,0.15625,3,5.0,5.0,68.33333333333333,40.333333333333336,1,0,2.0,33.33333333333333,0.6666666666666666,,0.0,,,2320.285714285714,2023-04-14,,627,20.6
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,1,0,23432.0,1952.6666666666667,10348.0,12,1,2,6,6,2024-01-16,2024-12-10,-1,0.5,69,44.3225,38.541304347826085,26,34,8,37.68115942028986,0.11594202898550725,4,4.0,4.0,95.0,26.75,0,1,2.0,0.0,0.75,competitor,0.0,False,2024-05-17,2130.181818181818,2024-01-15,2024-05-17,123,4.0
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,0,0,29407.0,2262.076923076923,10945.0,13,0,1,5,8,2024-12-01,2024-12-30,-1,0.38461538461538464,70,48.12,41.245714285714286,49,32,8,70.0,0.11428571428571428,2,3.0,3.0,118.0,50.5,0,1,0.0,0.0,0.5,unknown,0.0,True,2024-12-30,29407.0,2024-11-30,2024-12-30,30,1.0
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,0,0,27746.0,3468.25,14129.0,8,2,0,4,4,2023-09-27,2024-07-03,2,0.5,54,47.45166666666667,52.724074074074075,42,31,7,77.77777777777779,0.12962962962962962,2,4.0,4.0,30.5,24.5,0,0,1.0,0.0,0.5,competitor,128.79,False,2024-10-01,1321.2380952380952,2023-09-08,2024-10-01,389,12.8
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,0,0,13266.0,1895.142857142857,8358.0,7,0,0,5,2,2024-12-09,2024-12-31,0,0.7142857142857143,37,29.51638888888889,47.86441441441442,13,25,3,35.13513513513514,0.08108108108108109,6,4.25,4.0,94.83333333333333,50.166666666666664,1,1,1.0,16.666666666666664,0.3333333333333333,features,0.0,True,2024-12-30,884.4,2024-12-05,2024-12-30,25,0.8
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,0,0,11858.0,1976.3333333333333,7363.0,6,0,0,4,2,2023-08-24,2024-07-27,0,0.6666666666666666,46,37.09972222222222,48.390942028985506,19,29,6,41.30434782608695,0.13043478260869565,6,3.5,3.0,79.16666666666667,41.666666666666664,0,2,0.0,0.0,0.3333333333333333,,0.0,,,408.8965517241379,2023-08-23,,496,16.3
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,0,1,14646.0,1627.3333333333333,3582.0,9,0,1,5,4,2023-04-11,2024-12-17,-1,0.5555555555555556,43,38.123333333333335,53.1953488372093,18,28,9,41.86046511627907,0.20930232558139536,5,3.6,3.0,59.0,36.0,0,1,0.0,0.0,0.2,,0.0,,,813.6666666666666,2023-03-09,,663,21.8
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,1,0,9299.0,1162.375,4378.0,8,3,0,4,4,2024-01-02,2024-11-27,3,0.5,49,43.80861111111111,53.643197278911565,25,31,6,51.02040816326531,0.12244897959183673,3,4.0,4.0,108.66666666666667,26.0,1,0,1.0,33.33333333333333,0.3333333333333333,unknown,0.0,False,2023-12-19,2324.75,2023-11-19,2023-12-19,30,1.0
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,0,0,11844.0,846.0,2786.0,14,3,1,10,4,2024-04-14,2024-12-15,2,0.7142857142857143,66,53.29138888888889,48.446717171717175,44,34,15,66.66666666666666,0.22727272727272727,4,4.666666666666667,4.0,97.75,14.25,1,1,0.0,25.0,0.25,unknown,0.0,True,2024-07-03,1316.0,2024-04-14,2024-07-03,80,2.6
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,0,0,5175.0,646.875,2388.0,8,1,1,5,3,2024-07-28,2024-12-29,0,0.625,35,27.328611111111112,46.84904761904762,20,24,5,57.14285714285714,0.14285714285714285,9,4.0,3.0,81.88888888888889,31.333333333333332,1,1,3.0,11.11111111111111,0.4444444444444444,,0.0,,,646.875,2024-07-28,,156,5.1
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,0,1,36445.0,2603.214285714286,15522.0,14,2,0,7,7,2024-08-23,2024-12-19,2,0.5,69,57.88527777777778,50.33502415458938,37,32,8,53.62318840579711,0.11594202898550725,3,3.3333333333333335,3.0,76.66666666666667,31.333333333333332,0,1,0.0,0.0,0.3333333333333333,budget,35.48,True,2024-10-11,12148.333333333334,2024-08-20,2024-10-11,52,1.7
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,0,1,75938.0,9492.25,17114.0,8,0,0,3,5,2024-05-24,2024-10-03,0,0.375,42,35.39805555555556,50.5686507936508,22,28,10,52.38095238095239,0.23809523809523808,3,4.0,4.0,108.33333333333333,57.666666666666664,0,0,0.0,0.0,0.0,features,0.0,False,2024-09-01,883.0,2024-05-20,2024-09-01,104,3.4
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,0,0,3613.0,516.1428571428571,1617.0,7,0,1,3,4,2024-10-12,2024-11-22,-1,0.42857142857142855,32,27.253611111111113,51.100520833333334,20,23,2,62.5,0.0625,0,3.981276595744681,,88.48,35.861,0,0,,0.0,0.0,features,136.94,False,2024-10-15,3613.0,2024-10-04,2024-10-15,11,0.4
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,0,1,10162.0,1129.111111111111,5174.0,9,2,0,6,3,2023-07-18,2024-11-09,2,0.6666666666666666,47,41.86333333333334,53.44255319148936,19,27,2,40.42553191489361,0.0425531914893617,5,4.5,4.0,59.6,34.0,0,3,0.0,0.0,0.6,budget,0.0,False,2023-08-19,390.84615384615387,2023-03-07,2023-08-19,165,5.4
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,1,0,14121.0,1569.0,7761.0,9,0,1,4,5,2023-09-16,2024-12-02,-1,0.4444444444444444,58,47.60166666666667,49.24310344827586,31,30,7,53.44827586206896,0.1206896551724138,2,3.981276595744681,,120.5,33.0,0,2,0.0,0.0,1.0,,0.0,,,1765.125,2023-09-15,,473,15.5
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,0,1,32433.0,2027.0625,9751.0,16,3,0,7,9,2023-06-03,2024-12-15,3,0.4375,72,65.84861111111111,54.873842592592595,37,29,7,51.388888888888886,0.09722222222222222,4,5.0,5.0,119.0,49.75,0,0,3.0,0.0,0.75,,0.0,,,1707.0,2023-04-28,,613,20.1
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,0,0,42096.0,4209.6,27064.0,10,0,0,3,7,2023-12-26,2024-10-22,0,0.3,53,51.591388888888886,58.40534591194969,44,27,6,83.01886792452831,0.11320754716981132,4,4.0,4.0,126.5,34.0,0,2,0.0,0.0,0.5,unknown,0.0,False,2024-07-22,6013.714285714285,2023-10-28,2024-07-22,268,8.8
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,0,0,11069.0,1581.2857142857142,3980.0,7,1,0,3,4,2024-01-26,2024-11-03,1,0.42857142857142855,33,29.226111111111113,53.13838383838384,12,22,5,36.36363636363637,0.15151515151515152,2,3.5,3.0,27.0,61.5,0,0,0.0,0.0,0.0,features,0.0,False,2024-03-04,553.45,2023-09-27,2024-03-04,159,5.2
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,0,0,10236.0,1023.6,2597.0,10,2,1,4,6,2024-10-02,2024-12-19,1,0.4,55,48.72972222222222,53.15969696969697,23,29,5,41.81818181818181,0.09090909090909091,5,4.0,4.0,102.8,24.8,1,1,3.0,20.0,0.8,features,0.0,False,2024-11-30,5118.0,2024-10-02,2024-11-30,59,1.9
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,0,0,8216.0,1173.7142857142858,3184.0,7,2,1,2,5,2023-08-18,2024-11-13,1,0.2857142857142857,39,34.71611111111111,53.409401709401706,30,21,2,76.92307692307693,0.05128205128205128,5,3.6666666666666665,3.0,91.8,45.4,0,0,0.0,0.0,0.0,,0.0,,,513.5,2023-07-23,,527,17.3
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,0,1,21821.0,1983.7272727272727,5970.0,11,0,0,6,5,2024-07-01,2024-12-31,0,0.5454545454545454,63,51.92472222222222,49.4521164021164,32,34,7,50.79365079365079,0.1111111111111111,3,3.0,3.0,84.0,43.0,0,0,1.0,0.0,0.3333333333333333,competitor,228.75,False,2024-07-13,1558.642857142857,2024-06-27,2024-07-13,16,0.5
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,1,0,17260.0,1438.3333333333333,4975.0,12,2,0,5,7,2023-08-07,2024-12-17,2,0.4166666666666667,64,55.60472222222222,52.12942708333333,27,32,5,42.1875,0.078125,6,4.0,3.0,90.16666666666667,23.666666666666668,0,1,1.0,0.0,0.3333333333333333,features,0.0,False,2023-07-12,8630.0,2023-04-25,2023-07-12,78,2.6
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,0,0,7797.0,1113.857142857143,2646.0,7,2,0,1,6,2023-06-12,2024-06-03,2,0.14285714285714285,37,34.90972222222222,56.61036036036036,11,29,6,29.72972972972973,0.16216216216216217,1,4.0,4.0,49.0,27.0,0,0,1.0,0.0,1.0,unknown,0.0,True,2023-10-04,1113.857142857143,2023-03-01,2023-10-04,217,7.1
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,0,0,456.0,114.0,456.0,4,0,0,3,1,2024-06-17,2024-11-26,0,0.75,24,22.533055555555556,56.332638888888894,13,16,3,54.166666666666664,0.125,7,4.6,4.0,76.14285714285714,40.857142857142854,0,1,3.0,0.0,0.5714285714285714,unknown,98.48,False,2024-11-29,91.2,2024-05-12,2024-11-29,201,6.6
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,1,0,11392.0,1265.7777777777778,3582.0,9,0,0,4,5,2023-05-28,2024-09-08,0,0.4444444444444444,39,35.420833333333334,54.493589743589745,31,27,3,79.48717948717949,0.07692307692307693,8,4.25,3.0,82.5,30.75,1,4,2.0,12.5,0.75,,0.0,,,2278.4,2023-05-12,,599,19.7
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,0,0,20131.0,1677.5833333333333,4975.0,12,2,1,6,6,2024-07-12,2024-12-23,1,0.5,71,61.82833333333333,52.249295774647884,53,35,4,74.64788732394366,0.056338028169014086,4,4.0,4.0,110.0,64.0,0,1,2.0,0.0,0.75,pricing,0.0,False,2024-11-12,6710.333333333333,2024-06-24,2024-11-12,141,4.6
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,0,0,14759.0,2459.8333333333335,4459.0,6,0,0,3,3,2024-12-09,2024-12-31,0,0.5,24,20.421388888888888,51.053472222222226,10,17,4,41.66666666666667,0.16666666666666666,5,4.8,4.0,100.8,44.2,0,0,2.0,0.0,0.4,support,8.47,False,2024-12-24,737.95,2024-12-07,2024-12-24,17,0.6
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,0,0,8771.0,797.3636363636364,2009.0,11,0,1,5,6,2024-10-28,2024-12-30,-1,0.45454545454545453,62,54.33277777777778,52.580107526881726,33,33,4,53.2258064516129,0.06451612903225806,5,4.0,3.0,109.4,27.2,0,2,1.0,0.0,0.6,,0.0,,,2192.75,2024-10-27,,65,2.1
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,0,0,51109.0,4259.083333333333,18308.0,12,2,0,8,4,2023-06-11,2024-11-23,2,0.6666666666666666,67,57.532222222222224,51.52139303482587,46,32,9,68.65671641791045,0.13432835820895522,4,4.0,4.0,108.5,20.0,0,0,2.0,0.0,0.5,features,72.19,False,2024-11-25,1597.15625,2023-05-04,2024-11-25,571,18.8
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,0,0,3565.0,509.2857142857143,2786.0,7,3,0,2,5,2024-08-26,2024-12-20,3,0.2857142857142857,46,40.63916666666667,53.00760869565217,31,26,5,67.3913043478261,0.10869565217391304,3,4.333333333333333,3.0,136.33333333333334,40.333333333333336,0,1,2.0,0.0,1.0,,0.0,,,1782.5,2024-08-25,,128,4.2
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,0,1,39516.0,2634.4,7164.0,15,2,0,7,8,2023-03-27,2024-12-24,2,0.4666666666666667,77,63.10722222222222,49.17445887445888,38,34,5,49.35064935064935,0.06493506493506493,1,3.0,3.0,135.0,36.0,0,0,0.0,0.0,0.0,,0.0,,,1162.235294117647,2023-03-14,,658,21.6
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,0,0,32394.0,2491.846153846154,7960.0,13,4,0,7,6,2023-07-19,2024-12-20,4,0.5384615384615384,67,59.92638888888889,53.66542288557214,31,33,5,46.26865671641791,0.07462686567164178,2,4.5,4.0,78.0,12.0,0,1,0.0,0.0,0.5,pricing,99.1,True,2023-08-10,2313.8571428571427,2023-03-14,2023-08-10,149,4.9
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,0,0,19465.0,1497.3076923076924,9552.0,13,1,0,7,6,2024-08-01,2024-12-02,1,0.5384615384615384,66,58.424166666666665,53.11287878787879,36,28,4,54.54545454545454,0.06060606060606061,3,3.5,3.0,111.33333333333333,42.666666666666664,0,0,1.0,0.0,0.3333333333333333,unknown,0.0,False,2024-10-20,9732.5,2024-07-06,2024-10-20,106,3.5
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,0,0,29071.0,2907.1,8159.0,10,2,0,6,4,2024-04-30,2024-12-12,2,0.6,47,35.554722222222225,45.38900709219858,19,29,7,40.42553191489361,0.14893617021276595,3,5.0,5.0,82.0,26.333333333333332,0,2,0.0,0.0,0.6666666666666666,pricing,0.0,False,2024-05-07,4153.0,2024-04-29,2024-05-07,8,0.3
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,0,0,10394.0,944.9090909090909,4378.0,11,2,1,7,4,2023-05-29,2024-10-15,1,0.6363636363636364,59,47.99,48.80338983050847,31,27,3,52.54237288135594,0.05084745762711865,2,4.5,4.0,141.0,18.5,1,0,0.0,50.0,0.0,budget,0.0,False,2024-07-19,1154.888888888889,2023-04-07,2024-07-19,469,15.4
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,0,0,38210.0,2547.3333333333335,17910.0,15,3,1,10,5,2024-04-11,2024-12-04,2,0.6666666666666666,70,56.651666666666664,48.558571428571426,27,33,6,38.57142857142858,0.08571428571428572,5,4.333333333333333,4.0,67.4,22.4,0,2,0.0,0.0,0.4,budget,6.26,False,2024-03-22,7642.0,2024-02-25,2024-03-22,26,0.9
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,1,0,20475.0,1706.25,10746.0,12,0,0,8,4,2024-11-01,2024-12-30,0,0.6666666666666666,48,36.62083333333333,45.776041666666664,21,28,3,43.75,0.0625,4,3.6666666666666665,3.0,83.0,42.25,0,2,0.0,0.0,0.5,support,0.0,False,2024-12-17,3412.5,2024-10-31,2024-12-17,47,1.5
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,1,0,23676.0,1821.2307692307693,6368.0,13,2,1,6,7,2023-09-30,2024-12-24,1,0.46153846153846156,52,49.43277777777778,57.03782051282052,24,27,5,46.15384615384615,0.09615384615384616,5,4.0,4.0,46.6,27.4,0,2,0.0,0.0,0.4,unknown,113.17,False,2024-08-30,1821.2307692307693,2023-09-12,2024-08-30,353,11.6
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,0,1,19088.0,1590.6666666666667,9353.0,12,1,1,7,5,2024-04-02,2024-12-10,0,0.5833333333333334,73,65.74805555555555,54.03949771689498,60,34,5,82.1917808219178,0.0684931506849315,2,3.0,3.0,38.0,42.0,0,0,2.0,0.0,1.0,budget,0.0,True,2024-06-27,406.1276595744681,2024-03-08,2024-06-27,111,3.6
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Basic,13,0,0,31989.0,1999.3125,7164.0,16,2,1,9,7,2024-04-05,2024-12-31,1,0.5625,77,56.70111111111111,44.18268398268398,63,33,7,81.81818181818183,0.09090909090909091,3,5.0,5.0,87.66666666666667,47.333333333333336,0,2,0.0,0.0,0.6666666666666666,budget,0.0,False,2024-05-02,2460.6923076923076,2024-03-29,2024-05-02,34,1.1
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,0,0,26410.0,2400.909090909091,4577.0,11,1,0,3,8,2023-10-21,2024-10-18,1,0.2727272727272727,53,47.181666666666665,53.41320754716981,34,32,5,64.15094339622641,0.09433962264150944,6,4.0,3.0,100.5,23.333333333333332,0,1,1.0,0.0,0.3333333333333333,support,0.0,False,2024-08-21,1200.4545454545455,2023-04-06,2024-08-21,503,16.5
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,0,0,25790.0,3223.75,8159.0,8,1,2,2,6,2023-10-26,2024-09-22,-1,0.25,39,35.46861111111111,54.56709401709402,30,24,4,76.92307692307693,0.10256410256410256,3,4.0,4.0,93.66666666666667,50.333333333333336,0,1,1.0,0.0,0.6666666666666666,features,0.0,False,2024-06-06,991.9230769230769,2023-08-07,2024-06-06,304,10.0
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,0,1,4498.0,562.25,980.0,8,1,0,5,3,2023-04-04,2024-09-17,1,0.625,41,32.03472222222222,46.88008130081301,22,26,6,53.65853658536586,0.14634146341463414,2,3.5,3.0,61.5,34.5,0,0,0.0,0.0,0.0,support,7.58,True,2024-06-22,224.9,2023-01-03,2024-06-22,536,17.6
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,0,1,48060.0,3003.75,7164.0,16,2,0,8,8,2024-03-17,2024-12-27,2,0.5,81,75.37722222222222,55.83497942386831,27,37,10,33.33333333333333,0.12345679012345678,3,3.5,3.0,43.0,48.333333333333336,0,1,1.0,0.0,0.6666666666666666,,0.0,,,1335.0,2024-03-09,,297,9.8
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,0,0,9332.0,1166.5,3781.0,8,1,0,5,3,2023-11-14,2024-12-27,1,0.625,38,30.682222222222222,48.44561403508772,12,27,3,31.57894736842105,0.07894736842105263,3,3.981276595744681,,75.33333333333333,42.666666666666664,0,0,0.0,0.0,0.0,competitor,0.0,True,2023-07-21,9332.0,2023-07-14,2023-07-21,7,0.2
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,1,0,0,25928.0,1525.1764705882354,6965.0,17,2,1,9,8,2024-07-22,2024-12-31,1,0.5294117647058824,88,72.63583333333334,49.52443181818182,59,38,13,67.04545454545455,0.14772727272727273,4,4.333333333333333,4.0,37.25,35.25,0,1,1.0,0.0,0.5,,0.0,,,25928.0,2024-07-09,,175,5.7
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Basic,20,0,0,31390.0,2414.6153846153848,12338.0,13,3,1,2,11,2024-09-07,2024-12-17,2,0.15384615384615385,51,41.14055555555556,48.40065359477124,25,28,5,49.01960784313725,0.09803921568627451,2,4.0,4.0,98.5,15.0,0,0,0.0,0.0,0.0,budget,0.0,False,2024-09-05,1569.5,2024-08-21,2024-09-05,15,0.5
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,0,1,9420.0,1046.6666666666667,5771.0,9,3,1,5,4,2023-06-23,2024-07-18,2,0.5555555555555556,39,33.39611111111111,51.378632478632476,17,25,3,43.58974358974359,0.07692307692307693,3,4.0,4.0,69.66666666666667,37.0,0,0,1.0,0.0,0.3333333333333333,support,0.0,False,2024-10-03,1046.6666666666667,2023-02-28,2024-10-03,583,19.2
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Pro,8,1,0,12116.0,1009.6666666666666,3184.0,12,1,1,7,5,2024-09-10,2024-12-05,0,0.5833333333333334,58,52.09027777777778,53.88649425287357,38,33,5,65.51724137931035,0.08620689655172414,6,4.5,3.0,78.83333333333333,28.5,0,0,1.0,0.0,0.16666666666666666,pricing,0.0,False,2024-10-12,1514.5,2024-09-01,2024-10-12,41,1.3
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,0,0,22673.0,1889.4166666666667,8159.0,12,1,0,5,7,2023-06-03,2024-10-28,1,0.4166666666666667,48,41.68083333333333,52.10104166666667,25,29,5,52.083333333333336,0.10416666666666667,6,3.5,3.0,80.5,26.833333333333332,0,3,1.0,0.0,0.6666666666666666,competitor,0.0,False,2024-04-12,553.0,2023-05-03,2024-04-12,345,11.3
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,0,0,3498.0,699.6,1617.0,5,0,0,1,4,2024-09-27,2024-12-26,0,0.2,29,28.45888888888889,58.880459770114946,22,18,3,75.86206896551724,0.10344827586206896,4,3.75,3.0,65.25,17.0,0,1,0.0,0.0,0.25,budget,113.84,True,2024-10-24,106.0,2024-09-26,2024-10-24,28,0.9
